,"PV 2013, Kassel, 10min"
2013-01-01 00:00:00,0.0
2013-01-01 00:10:00,0.0
2013-01-01 00:20:00,0.0
2013-01-01 00:30:00,0.0
2013-01-01 00:40:00,0.0
2013-01-01 00:50:00,0.0
2013-01-01 01:00:00,0.0
2013-01-01 01:10:00,0.0
2013-01-01 01:20:00,0.0
2013-01-01 01:30:00,0.0
2013-01-01 01:40:00,0.0
2013-01-01 01:50:00,0.0
2013-01-01 02:00:00,0.0
2013-01-01 02:10:00,0.0
2013-01-01 02:20:00,0.0
2013-01-01 02:30:00,0.0
2013-01-01 02:40:00,0.0
2013-01-01 02:50:00,0.0
2013-01-01 03:00:00,0.0
2013-01-01 03:10:00,0.0
2013-01-01 03:20:00,0.0
2013-01-01 03:30:00,0.0
2013-01-01 03:40:00,0.0
2013-01-01 03:50:00,0.0
2013-01-01 04:00:00,0.0
2013-01-01 04:10:00,0.0
2013-01-01 04:20:00,0.0
2013-01-01 04:30:00,0.0
2013-01-01 04:40:00,0.0
2013-01-01 04:50:00,0.0
2013-01-01 05:00:00,0.0
2013-01-01 05:10:00,0.0
2013-01-01 05:20:00,0.0
2013-01-01 05:30:00,0.0
2013-01-01 05:40:00,0.0
2013-01-01 05:50:00,0.0
2013-01-01 06:00:00,0.0
2013-01-01 06:10:00,0.0
2013-01-01 06:20:00,0.0
2013-01-01 06:30:00,0.0
2013-01-01 06:40:00,0.0
2013-01-01 06:50:00,0.0
2013-01-01 07:00:00,0.0
2013-01-01 07:10:00,0.0
2013-01-01 07:20:00,0.0
2013-01-01 07:30:00,0.0
2013-01-01 07:40:00,0.0
2013-01-01 07:50:00,0.0
2013-01-01 08:00:00,0.0
2013-01-01 08:10:00,0.0
2013-01-01 08:20:00,0.0
2013-01-01 08:30:00,0.0
2013-01-01 08:40:00,0.0
2013-01-01 08:50:00,0.0
2013-01-01 09:00:00,0.0
2013-01-01 09:10:00,0.005870451580767622
2013-01-01 09:20:00,0.010402216575289459
2013-01-01 09:30:00,0.07453949638907034
2013-01-01 09:40:00,0.14343367045487412
2013-01-01 09:50:00,0.14140513002953412
2013-01-01 10:00:00,0.11402847002029831
2013-01-01 10:10:00,0.12739499701826845
2013-01-01 10:20:00,0.11458354445976511
2013-01-01 10:30:00,0.11102306185946419
2013-01-01 10:40:00,0.1196059604406628
2013-01-01 10:50:00,0.12739167914428437
2013-01-01 11:00:00,0.12757269552053005
2013-01-01 11:10:00,0.14264552581184944
2013-01-01 11:20:00,0.1576886332308277
2013-01-01 11:30:00,0.13281437615632968
2013-01-01 11:40:00,0.1354116518427418
2013-01-01 11:50:00,0.1147535246765301
2013-01-01 12:00:00,0.1039853411148215
2013-01-01 12:10:00,0.13650629212131662
2013-01-01 12:20:00,0.16470160146036505
2013-01-01 12:30:00,0.15499881827699938
2013-01-01 12:40:00,0.12537591815018914
2013-01-01 12:50:00,0.0938960616800614
2013-01-01 13:00:00,0.08002515862642667
2013-01-01 13:10:00,0.059857184526890705
2013-01-01 13:20:00,0.09506178407439166
2013-01-01 13:30:00,0.09875744852063235
2013-01-01 13:40:00,0.122995036420798
2013-01-01 13:50:00,0.14808027554236106
2013-01-01 14:00:00,0.15209658046364893
2013-01-01 14:10:00,0.15239449550788323
2013-01-01 14:20:00,0.13721780426656097
2013-01-01 14:30:00,0.13248343150751227
2013-01-01 14:40:00,0.12729197943569945
2013-01-01 14:50:00,0.05252756532513558
2013-01-01 15:00:00,0.01949543505249949
2013-01-01 15:10:00,0.019708750774066176
2013-01-01 15:20:00,0.017692735715604615
2013-01-01 15:30:00,0.029663298648915773
2013-01-01 15:40:00,0.023410022676830525
2013-01-01 15:50:00,0.0028014828719506116
2013-01-01 16:00:00,0.0
2013-01-01 16:10:00,0.0
2013-01-01 16:20:00,0.0
2013-01-01 16:30:00,0.0
2013-01-01 16:40:00,0.0
2013-01-01 16:50:00,0.0
2013-01-01 17:00:00,0.0
2013-01-01 17:10:00,0.0
2013-01-01 17:20:00,0.0
2013-01-01 17:30:00,0.0
2013-01-01 17:40:00,0.0
2013-01-01 17:50:00,0.0
2013-01-01 18:00:00,0.0
2013-01-01 18:10:00,0.0
2013-01-01 18:20:00,0.0
2013-01-01 18:30:00,0.0
2013-01-01 18:40:00,0.0
2013-01-01 18:50:00,0.0
2013-01-01 19:00:00,0.0
2013-01-01 19:10:00,0.0
2013-01-01 19:20:00,0.0
2013-01-01 19:30:00,0.0
2013-01-01 19:40:00,0.0
2013-01-01 19:50:00,0.0
2013-01-01 20:00:00,0.0
2013-01-01 20:10:00,0.0
2013-01-01 20:20:00,0.0
2013-01-01 20:30:00,0.0
2013-01-01 20:40:00,0.0
2013-01-01 20:50:00,0.0
2013-01-01 21:00:00,0.0
2013-01-01 21:10:00,0.0
2013-01-01 21:20:00,0.0
2013-01-01 21:30:00,0.0
2013-01-01 21:40:00,0.0
2013-01-01 21:50:00,0.0
2013-01-01 22:00:00,0.0
2013-01-01 22:10:00,0.0
2013-01-01 22:20:00,0.0
2013-01-01 22:30:00,0.0
2013-01-01 22:40:00,0.0
2013-01-01 22:50:00,0.0
2013-01-01 23:00:00,0.0
2013-01-01 23:10:00,0.0
2013-01-01 23:20:00,0.0
2013-01-01 23:30:00,0.0
2013-01-01 23:40:00,0.0
2013-01-01 23:50:00,0.0
2013-01-02 00:00:00,0.0
2013-01-02 00:10:00,0.0
2013-01-02 00:20:00,0.0
2013-01-02 00:30:00,0.0
2013-01-02 00:40:00,0.0
2013-01-02 00:50:00,0.0
2013-01-02 01:00:00,0.0
2013-01-02 01:10:00,0.0
2013-01-02 01:20:00,0.0
2013-01-02 01:30:00,0.0
2013-01-02 01:40:00,0.0
2013-01-02 01:50:00,0.0
2013-01-02 02:00:00,0.0
2013-01-02 02:10:00,0.0
2013-01-02 02:20:00,0.0
2013-01-02 02:30:00,0.0
2013-01-02 02:40:00,0.0
2013-01-02 02:50:00,0.0
2013-01-02 03:00:00,0.0
2013-01-02 03:10:00,0.0
2013-01-02 03:20:00,0.0
2013-01-02 03:30:00,0.0
2013-01-02 03:40:00,0.0
2013-01-02 03:50:00,0.0
2013-01-02 04:00:00,0.0
2013-01-02 04:10:00,0.0
2013-01-02 04:20:00,0.0
2013-01-02 04:30:00,0.0
2013-01-02 04:40:00,0.0
2013-01-02 04:50:00,0.0
2013-01-02 05:00:00,0.0
2013-01-02 05:10:00,0.0
2013-01-02 05:20:00,0.0
2013-01-02 05:30:00,0.0
2013-01-02 05:40:00,0.0
2013-01-02 05:50:00,0.0
2013-01-02 06:00:00,0.0
2013-01-02 06:10:00,0.0
2013-01-02 06:20:00,0.0
2013-01-02 06:30:00,0.0
2013-01-02 06:40:00,0.0
2013-01-02 06:50:00,0.0
2013-01-02 07:00:00,0.0
2013-01-02 07:10:00,0.0
2013-01-02 07:20:00,0.0
2013-01-02 07:30:00,0.0
2013-01-02 07:40:00,0.0
2013-01-02 07:50:00,0.0
2013-01-02 08:00:00,0.0
2013-01-02 08:10:00,0.0
2013-01-02 08:20:00,0.0
2013-01-02 08:30:00,0.0
2013-01-02 08:40:00,0.0
2013-01-02 08:50:00,0.0
2013-01-02 09:00:00,0.0
2013-01-02 09:10:00,0.0
2013-01-02 09:20:00,0.0
2013-01-02 09:30:00,0.040875553126875276
2013-01-02 09:40:00,0.07562789631012948
2013-01-02 09:50:00,0.04284394670821712
2013-01-02 10:00:00,0.05814866110761159
2013-01-02 10:10:00,0.0354963300945883
2013-01-02 10:20:00,0.04602159267167281
2013-01-02 10:30:00,0.0465187545013805
2013-01-02 10:40:00,0.1151529026531307
2013-01-02 10:50:00,0.08760074022316076
